trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
70,False,"{'a': 0.5, 'e': 0.49658530379140947}",20,15,9.418429017913242,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.4916441974609651}",20,2,-31.196804506085414,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
72,False,"{'a': 0.5, 'e': 0.4867522559599717}",20,0,-98.70013313804557,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
73,False,"{'a': 0.5, 'e': 0.48190899009020244}",30,4,-72.03721001095363,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 1}",1
74,False,"{'a': 0.5, 'e': 0.4771139155210344}",35,0,-16.756968871060106,"{0: 30, 1: 0, 2: 4, 3: 1, 4: 0}",0
75,False,"{'a': 0.5, 'e': 0.4723665527410147}",30,0,-12.068739407207593,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
76,False,"{'a': 0.5, 'e': 0.46766642700990924}",20,2,-20.222567776845366,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.46301306831122807}",20,8,-53.865303718558465,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 1}",1
78,False,"{'a': 0.5, 'e': 0.4584060113052235}",20,10,-3.972036436958109,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.45384479528235583}",25,0,-52.033347315977196,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
80,False,"{'a': 0.5, 'e': 0.44932896411722156}",25,11,-36.02357142426729,"{0: 9, 1: 2, 2: 2, 3: 1, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.4448580662229411}",20,7,-8.601862277310971,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.44043165450599925}",20,0,8.699579182466266,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.43604928632153556}",20,0,-2.7971825621430786,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
84,False,"{'a': 0.5, 'e': 0.43171052342907973}",20,0,-42.56428893201759,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
85,False,"{'a': 0.5, 'e': 0.4274149319487267}",20,0,-119.76877192178951,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
86,False,"{'a': 0.5, 'e': 0.4231620823177488}",20,0,-37.38044665936932,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
87,False,"{'a': 0.5, 'e': 0.418951549247639}",20,0,1.4363647262082795,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
88,False,"{'a': 0.5, 'e': 0.4147829116815814}",20,8,-49.10162539786217,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 1}",1
89,False,"{'a': 0.5, 'e': 0.4106557527523455}",35,11,-40.977643531431944,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 1}",1
90,False,"{'a': 0.5, 'e': 0.4065696597405991}",20,3,22.821155423251522,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.40252422403363597}",30,16,17.311402750408288,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.39851904108451414}",25,8,17.550947216875382,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
